chain,day,total_value
gnosis,2022-08-03 00:00:00.000 UTC,25000000000000000000
Gnosis,2022-08-04 00:00:00.000 UTC,77180461797882620628102
gnosis,2022-08-04 00:00:00.000 UTC,77180461797882620628102
Gnosis,2022-08-05 00:00:00.000 UTC,447580062360400327569307
gnosis,2022-08-05 00:00:00.000 UTC,447580062360400327569307
Gnosis,2022-08-06 00:00:00.000 UTC,179154223748867567866020
gnosis,2022-08-06 00:00:00.000 UTC,179154223748867567866020
Gnosis,2022-08-07 00:00:00.000 UTC,1615422482494146263429
gnosis,2022-08-07 00:00:00.000 UTC,1615422482494146263429
Gnosis,2022-08-08 00:00:00.000 UTC,621406545804104018120605
gnosis,2022-08-08 00:00:00.000 UTC,621406545804104018120605
Gnosis,2022-08-09 00:00:00.000 UTC,355104743549907738374726
gnosis,2022-08-09 00:00:00.000 UTC,355104743549907738374726
Gnosis,2022-08-10 00:00:00.000 UTC,930872782914033786938666
gnosis,2022-08-10 00:00:00.000 UTC,930872782914033786938666
Gnosis,2022-08-11 00:00:00.000 UTC,137368505554111646986632
gnosis,2022-08-11 00:00:00.000 UTC,137368505554111646986632
Gnosis,2022-08-12 00:00:00.000 UTC,275671683327146098801344
gnosis,2022-08-12 00:00:00.000 UTC,275671683327146098801344
Gnosis,2022-08-13 00:00:00.000 UTC,383365214420948702337609
gnosis,2022-08-13 00:00:00.000 UTC,383365214420948702337609
Gnosis,2022-08-15 00:00:00.000 UTC,227342293006816977594784
gnosis,2022-08-15 00:00:00.000 UTC,227342293006816977594784
Gnosis,2022-08-16 00:00:00.000 UTC,21113492228603534740195604540
gnosis,2022-08-16 00:00:00.000 UTC,21113492228603534740195604540
Gnosis,2022-08-17 00:00:00.000 UTC,155041598139665531
gnosis,2022-08-17 00:00:00.000 UTC,155041598139665531
Avalanche,2022-08-18 00:00:00.000 UTC,71487697331779143736696105
Gnosis,2022-08-18 00:00:00.000 UTC,791247579739032677
avalanche_c,2022-08-18 00:00:00.000 UTC,71487697331779143736696105
gnosis,2022-08-18 00:00:00.000 UTC,791247579739032677
Gnosis,2022-08-19 00:00:00.000 UTC,573316764587337649
gnosis,2022-08-19 00:00:00.000 UTC,573316764587337649
Gnosis,2022-08-20 00:00:00.000 UTC,525885729509912972
gnosis,2022-08-20 00:00:00.000 UTC,525885729509912972
Avalanche,2022-08-21 00:00:00.000 UTC,14970137209174028658058
avalanche_c,2022-08-21 00:00:00.000 UTC,14970137209174028658058
Avalanche,2022-08-22 00:00:00.000 UTC,770047610732481209142207
avalanche_c,2022-08-22 00:00:00.000 UTC,770047610732481209142207
Avalanche,2022-08-23 00:00:00.000 UTC,366506199387428018775671
avalanche_c,2022-08-23 00:00:00.000 UTC,366506199387428018775671
Avalanche,2022-08-24 00:00:00.000 UTC,202241063825384663548247
Gnosis,2022-08-24 00:00:00.000 UTC,386817540320160832684
avalanche_c,2022-08-24 00:00:00.000 UTC,202241063825384663548247
gnosis,2022-08-24 00:00:00.000 UTC,386817540320160832684
Avalanche,2022-08-25 00:00:00.000 UTC,78016239712067395863186
Gnosis,2022-08-25 00:00:00.000 UTC,6724111789083031912
avalanche_c,2022-08-25 00:00:00.000 UTC,78016239712067395863186
gnosis,2022-08-25 00:00:00.000 UTC,6724111789083031912
Avalanche,2022-08-26 00:00:00.000 UTC,24304600635401493290862
Gnosis,2022-08-26 00:00:00.000 UTC,2432958908039777898
avalanche_c,2022-08-26 00:00:00.000 UTC,24304600635401493290862
gnosis,2022-08-26 00:00:00.000 UTC,2432958908039777898
Avalanche,2022-08-27 00:00:00.000 UTC,5208160100002604080000000000
Gnosis,2022-08-27 00:00:00.000 UTC,3001060509048501956474403
avalanche_c,2022-08-27 00:00:00.000 UTC,5208160100002604080000000000
gnosis,2022-08-27 00:00:00.000 UTC,3001060509048501956474403
Avalanche,2022-08-28 00:00:00.000 UTC,37112678543670516576893339
avalanche_c,2022-08-28 00:00:00.000 UTC,37112678543670516576893339
Gnosis,2022-08-29 00:00:00.000 UTC,723678768894582666
gnosis,2022-08-29 00:00:00.000 UTC,723678768894582666
Gnosis,2022-08-30 00:00:00.000 UTC,1424716481333260035
gnosis,2022-08-30 00:00:00.000 UTC,1424716481333260035
Arbitrum,2022-08-31 00:00:00.000 UTC,21000003100884675388603173538
Gnosis,2022-08-31 00:00:00.000 UTC,485775516110244586
arbitrum,2022-08-31 00:00:00.000 UTC,21000003100884675388603173538
gnosis,2022-08-31 00:00:00.000 UTC,485775516110244586
Arbitrum,2022-09-01 00:00:00.000 UTC,3838731008924134146035
Avalanche,2022-09-01 00:00:00.000 UTC,5140795364779258526804680419
Gnosis,2022-09-01 00:00:00.000 UTC,400676224347202131
arbitrum,2022-09-01 00:00:00.000 UTC,3838731008924134146035
avalanche_c,2022-09-01 00:00:00.000 UTC,5140795364779258526804680419
gnosis,2022-09-01 00:00:00.000 UTC,400676224347202131
Avalanche,2022-09-02 00:00:00.000 UTC,6126266909952378703180
Gnosis,2022-09-02 00:00:00.000 UTC,3001878704420971140702593
avalanche_c,2022-09-02 00:00:00.000 UTC,6126266909952378703180
gnosis,2022-09-02 00:00:00.000 UTC,3001878704420971140702593
Gnosis,2022-09-03 00:00:00.000 UTC,2770538386555994766
gnosis,2022-09-03 00:00:00.000 UTC,2770538386555994766
Arbitrum,2022-09-04 00:00:00.000 UTC,95930763009884378467
Avalanche,2022-09-04 00:00:00.000 UTC,104665623194071831280165746
Gnosis,2022-09-04 00:00:00.000 UTC,554840591446435751655
arbitrum,2022-09-04 00:00:00.000 UTC,95930763009884378467
avalanche_c,2022-09-04 00:00:00.000 UTC,104665623194071831280165746
gnosis,2022-09-04 00:00:00.000 UTC,554840591446435751655
Avalanche,2022-09-05 00:00:00.000 UTC,2254075050545314917608
avalanche_c,2022-09-05 00:00:00.000 UTC,2254075050545314917608
Gnosis,2022-09-06 00:00:00.000 UTC,7190326044272733565
gnosis,2022-09-06 00:00:00.000 UTC,7190326044272733565
Arbitrum,2022-09-07 00:00:00.000 UTC,300794215445797467218
Avalanche,2022-09-07 00:00:00.000 UTC,8394969206037451318506
